,date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_totals,poblacio_total,incidencia_1000,co,h2s,no,no2,nox,o3,pm10,pm2.5,so2
1,2011-09-17,247.647.058.823.529,199,704.705.882.352.941,101.007.058.823.529,292.470.588.235.294,25.8,27.3,24.5,0,NA,NA,NA,0.6,NA,21.46,51.54,83.92,39.62,33.38,NA,1.33
2,2011-09-18,2.125,140.25,780.833.333.333.333,1.007.275,731.666.666.666.667,213.458.333.333.333,24.4,18.5,37.9,NA,NA,NA,0.48,NA,13.79,37.88,58.46,38,22.5,NA,1.12
3,2011-09-19,276.666.666.666.667,209.833.333.333.333,523.333.333.333.333,101.325.416.666.667,225.708.333.333.333,196.916.666.666.667,24.3,15.3,0,NA,NA,NA,0.46,NA,35.75,52.17,106.46,34.08,25.62,NA,1.5
4,2011-09-20,186.666.666.666.667,209.458.333.333.333,605.416.666.666.667,101.641.666.666.667,229.375,21.275,23.4,18.2,0,NA,NA,NA,0.55,NA,35.83,61.75,116.38,35.92,31.33,NA,2.42
5,2011-09-21,192.083.333.333.333,245.541.666.666.667,67.5,10.152.875,228.416.666.666.667,228.208.333.333.333,26.1,19.2,0,NA,NA,NA,0.69,NA,29.46,67.54,112.21,32.42,34.21,NA,1.88
6,2011-09-22,173.333.333.333.333,211.708.333.333.333,709.583.333.333.333,101.399.583.333.333,222.041.666.666.667,234.958.333.333.333,27.1,20.5,0,NA,NA,NA,0.97,NA,46.88,70.58,141.71,30.75,37.04,NA,2.38
7,2011-09-23,181.666.666.666.667,208.25,725.833.333.333.333,1.011.575,213.916.666.666.667,233.041.666.666.667,25.6,20.6,0,NA,NA,NA,0.83,NA,48.17,76.12,149.38,24.12,41.5,NA,2.75
8,2011-09-24,160.416.666.666.667,177.291.666.666.667,761.666.666.666.667,101.080.833.333.333,539.166.666.666.667,215.041.666.666.667,23,19.3,9.4,NA,NA,NA,0.57,NA,19.54,54.83,84.33,42.33,20.71,NA,1
9,2011-09-25,125.833.333.333.333,120.666.666.666.667,700.833.333.333.333,101.504.166.666.667,223.166.666.666.667,215.125,23.8,18.7,0,NA,NA,NA,0.61,NA,22.75,59.79,94.08,35.67,25.62,NA,2.33
10,2011-09-26,122.916.666.666.667,141.791.666.666.667,692.083.333.333.333,101.887.916.666.667,216.625,224.125,24.5,19.4,0,NA,NA,NA,0.98,NA,72.46,91,201.58,22.08,36.92,NA,3.79
