,date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,no,no2,nox,o3,pm10
1,2011-09-17,3.96,217.8,70.4,967.474.285.714.285,207.457.142.857.143,23.14,26.9,20.4,0,NA,NA,NA,NA,NA,NA,NA,NA
2,2011-09-18,233.541.666.666.667,180.041.666.666.667,82,964.225,599.375,184.333.333.333.333,21.4,13.4,0.5,NA,NA,NA,NA,NA,NA,NA,NA
3,2011-09-19,4.4,194.75,562.708.333.333.333,969.591.666.666.667,232.770.833.333.333,160.041.666.666.667,23,10.5,0,NA,NA,NA,NA,NA,NA,NA,NA
4,2011-09-20,4.6625,2.546.875,611.666.666.666.667,972.914.583.333.333,198.645.833.333.333,186.708.333.333.333,25.2,13.8,0,NA,NA,NA,NA,NA,NA,NA,NA
5,2011-09-21,392.916.666.666.667,239.75,650.833.333.333.333,972.058.333.333.333,230.833.333.333.333,208.791.666.666.667,27.2,16.4,0.1,NA,NA,NA,NA,NA,NA,NA,NA
6,2011-09-22,367.708.333.333.333,210.729.166.666.667,627.916.666.666.667,970.970.833.333.333,2.295.625,221.020.833.333.333,28.6,18,0,NA,NA,NA,NA,NA,NA,NA,NA
7,2011-09-23,405.833.333.333.333,240.979.166.666.667,68.75,968.560.416.666.667,176.854.166.666.667,212.145.833.333.333,26.6,18.1,0,NA,NA,NA,NA,NA,NA,NA,NA
8,2011-09-24,380.208.333.333.333,187.895.833.333.333,812.291.666.666.667,967.629.166.666.666,576.041.666.666.667,1.786.875,19.6,15.6,5.6,NA,NA,NA,NA,NA,NA,NA,NA
9,2011-09-25,207.708.333.333.333,111.25,65.5,971.695.833.333.333,226.729.166.666.667,192.458.333.333.333,24.1,15.5,0,NA,NA,NA,NA,NA,NA,NA,NA
10,2011-09-26,172.083.333.333.333,186.375,55.5,97.556.875,220.958.333.333.333,2.124.375,25.6,18.7,0,NA,NA,NA,NA,NA,NA,NA,NA
11,2011-09-27,252.083.333.333.333,149.25,477.083.333.333.333,9.771.625,2.215.625,226.541.666.666.667,27.2,19.5,0,NA,NA,NA,NA,NA,NA,NA,NA
12,2011-09-28,338.333.333.333.333,638.541.666.666.667,491.041.666.666.667,97.644.375,218.5,213.229.166.666.667,26.2,18.4,0,NA,NA,NA,NA,NA,NA,NA,NA
13,2011-09-29,464.791.666.666.667,56.625,542.083.333.333.333,976.172.916.666.667,209.458.333.333.333,208.375,26,17.8,0,NA,NA,NA,NA,NA,NA,NA,NA
14,2011-09-30,354.791.666.666.667,652.083.333.333.333,630.416.666.666.667,976.091.666.666.667,201.854.166.666.667,200.145.833.333.333,24.8,16.3,0,NA,NA,NA,NA,NA,NA,NA,NA
15,2011-10-01,316.875,631.875,693.958.333.333.333,976.266.666.666.667,207.666.666.666.667,195.916.666.666.667,24.7,16.4,0,NA,NA,NA,NA,NA,NA,NA,NA
16,2011-10-02,3.25,260.208.333.333.333,517.083.333.333.333,976.254.166.666.667,2.183.125,214.958.333.333.333,28.1,17,0,NA,NA,NA,NA,NA,NA,NA,NA
17,2011-10-03,302.916.666.666.667,141.625,317.083.333.333.333,97.581.875,211.104.166.666.667,238.604.166.666.667,28.7,20.6,0,1517,703847,215.529.795.537.951,NA,NA,NA,NA,NA
18,2011-10-04,403.125,247.729.166.666.667,307.916.666.666.667,976.047.916.666.667,203.895.833.333.333,240.166.666.666.667,30.3,20.3,0,1140,552973,206.158.347.695.095,NA,NA,NA,NA,NA
19,2011-10-05,437.291.666.666.667,202.729.166.666.667,450.208.333.333.333,974.589.583.333.333,208.145.833.333.333,229.270.833.333.333,31.2,18.6,0,1132,592742,190.976.849.961.703,NA,NA,NA,NA,NA
20,2011-10-06,182.708.333.333.333,198.895.833.333.333,739.583.333.333.333,972.495.833.333.333,168.395.833.333.333,20.725,26.2,17.9,0,1088,565865,192.272.008.341.212,NA,NA,NA,NA,NA
21,2011-10-07,501.666.666.666.667,237.416.666.666.667,672.083.333.333.333,969.958.333.333.333,881.666.666.666.667,1.765.625,21.2,14.8,0,914,479219,19.072.699.538.207,NA,NA,NA,NA,NA
22,2011-10-08,426.875,2.034.375,549.791.666.666.667,972.202.083.333.333,1.925.625,155.604.166.666.667,22.7,10.7,0,217,145216,149.432.569.413.839,NA,NA,NA,NA,NA
23,2011-10-09,499.791.666.666.667,248.875,499.791.666.666.667,974.335.416.666.667,201.104.166.666.667,173.395.833.333.333,24.8,11.4,0,107,71159,150.367.486.895.544,NA,NA,NA,NA,NA
24,2011-10-10,516.666.666.666.667,292.041.666.666.667,331.041.666.666.667,976.377.083.333.333,198.604.166.666.667,232.791.666.666.667,31.4,17.4,0,1438,691942,207.820.886.721.719,NA,NA,NA,NA,NA
25,2011-10-11,277.708.333.333.333,177,315.416.666.666.667,97.504.375,195.020.833.333.333,247.166.666.666.667,30.8,20.5,0,1141,559525,203.922.970.376.659,NA,NA,NA,NA,NA
