,date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,co,no,no2,nox,pm10,so2
1,2011-09-17,219.142.857.142.857,218.685.714.285.714,670.571.428.571.429,100.449.142.857.143,263.685.714.285.714,251.571.428.571.429,28.4,21.7,0,NA,NA,NA,NA,4.79,33.33,40.29,NA,NA
2,2011-09-18,177.708.333.333.333,151.145.833.333.333,77.125,100.163.541.666.667,780.625,201.895.833.333.333,23.5,15.8,0.3,NA,NA,NA,NA,2.12,21.46,24.54,NA,NA
3,2011-09-19,378.125,2.188.125,503.958.333.333.333,100.748.541.666.667,238.291.666.666.667,1.870.625,25.8,13.6,0,NA,NA,NA,NA,5.33,24.08,31.83,NA,NA
4,2011-09-20,2.1625,234.145.833.333.333,602.291.666.666.667,101.068.541.666.667,228,201.854.166.666.667,25.2,15.9,0,NA,NA,NA,NA,5.25,30.62,38.58,NA,NA
5,2011-09-21,197.916.666.666.667,250.729.166.666.667,694.166.666.666.667,100.963.333.333.333,233.875,210.604.166.666.667,26,15.7,0,NA,NA,NA,NA,8.37,39.21,52.53,NA,NA
6,2011-09-22,168.541.666.666.667,226.708.333.333.333,69.25,100.832.708.333.333,225.020.833.333.333,223.958.333.333.333,27.6,18.2,0,NA,NA,NA,NA,13,43.12,62.88,NA,NA
7,2011-09-23,183.125,249.833.333.333.333,717.708.333.333.333,1005.9,201.895.833.333.333,2.200.625,27,17.3,0,NA,NA,NA,NA,14.5,48.25,69.79,NA,NA
8,2011-09-24,1.5125,157.916.666.666.667,780.625,100.518.958.333.333,575.833.333.333.333,1.988.125,22.9,16.6,4.5,NA,NA,NA,NA,2.67,29.21,33,NA,NA
9,2011-09-25,114.583.333.333.333,202.083.333.333.333,690.416.666.666.667,100.931.875,225,203.729.166.666.667,26,15.5,0,NA,NA,NA,NA,3.62,33.29,39.46,NA,NA
10,2011-09-26,120.833.333.333.333,216.208.333.333.333,659.375,101.313.958.333.333,216.875,21.425,27.5,16.5,0,NA,NA,NA,NA,22.92,59.62,94.79,NA,NA
11,2011-09-27,111.458.333.333.333,193.770.833.333.333,594.791.666.666.667,101.456.041.666.667,2.179.375,225.375,29.7,16.8,0,NA,NA,NA,NA,38,78.58,134.64,NA,NA
12,2011-09-28,156.041.666.666.667,128.104.166.666.667,536.041.666.666.667,101.393.541.666.667,214.958.333.333.333,223.791.666.666.667,28,17.1,0,NA,NA,NA,NA,3.42,47.17,51.5,NA,NA
13,2011-09-29,230.208.333.333.333,138.041.666.666.667,591.041.666.666.667,101.376.041.666.667,2.059.375,2.161.875,27.9,16.1,0,NA,NA,NA,NA,4.58,43.67,50.25,NA,NA
14,2011-09-30,210.625,1.233.125,633.958.333.333.333,101.377.916.666.667,203.625,211.645.833.333.333,26.1,15.5,0,NA,NA,NA,NA,5.38,43.33,51.21,NA,NA
