,date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,co,no,no2,nox,o3,pm10,pm2.5,so2
1,2012-01-01,6.5,280.1,64,974.7,102.4,11.8,16.4,9.2,0,1444,795223,181.584.285.162.778,0.61,6.48,28.39,37.87,31.17,NA,NA,8.25
2,2012-01-02,4.8,282.3,54.6,972.5,94.6,10.6,13.9,8.1,0.1,1206,718523,167.844.313.960.722,0.28,3.61,16.17,21.13,45.04,NA,NA,5.12
3,2012-01-03,4.5,290.2,56,979.9,96.6,8.3,12.2,6.2,0,1114,646980,172.184.611.579.956,0.48,7.15,30.6,41.3,32.67,NA,NA,4.74
4,2012-01-04,5.1,255.5,70,978.8,92.7,8.3,13.9,4.3,0,837,480117,174.332.506.451.552,0.3,15.65,36.09,59.39,26.17,NA,NA,5.83
5,2012-01-05,7.5,300.2,51.3,971.9,21.2,9.3,13.4,6.2,0,121,98557,122.771.594.102.905,0.21,02.09,18.3,20.91,44.21,NA,NA,3.75
6,2012-01-06,4.6,245.4,67.4,972.5,77.6,10.4,12.8,7.6,0,285,197910,144.004.850.689.707,0.37,03.09,21.65,25.74,43.38,NA,NA,5.92
7,2012-01-07,4.7,281.3,51.1,978.1,110.6,8.3,12.3,5.1,0,141,111291,126.694.880.987.681,0.3,3.78,25.35,30.65,35.25,NA,NA,6.25
8,2012-01-08,6.4,286.4,65.5,976.4,108.6,7.9,10.5,5.6,0,1481,848692,174.503.824.709.082,0.3,2.26,14,16.83,39.88,NA,NA,3.21
9,2012-01-09,5.5,275.8,60.8,978.5,106.2,8.8,13,5.9,0,1117,666588,167.569.773.233.242,0.42,10.7,35.18,50.22,27.62,NA,NA,8.38
10,2012-01-10,3.4,223.3,63.1,980.9,106.9,9.3,13.7,7.5,0,1090,668006,163.172.187.076.164,0.52,29.57,59.17,103.91,16.88,NA,NA,4.92
11,2012-01-11,3.3,160.6,77.6,982.5,92.6,8.5,12.5,6.1,0,1049,621005,168.919.734.945.773,0.54,37.61,64,121,13.29,NA,NA,2.58
12,2012-01-12,6.1,262.2,72.8,980.8,108.2,8.3,13,5.9,0,916,541464,169.170.988.283.616,0.41,5.96,36.13,45.13,30.62,NA,NA,5.67
13,2012-01-13,5.6,300.2,41.7,975.5,116.9,8.3,13.4,5,0,207,145443,142.323.796.951.383,0.22,12.09,34.91,53.26,26.58,NA,NA,4.21
14,2012-01-14,2.2,122.4,70.6,970.5,69.7,6.9,10,4.8,0,151,101482,148.794.860.172.247,0.47,22.83,46.7,81.26,15.96,NA,NA,3.79
15,2012-01-15,1.9,96.8,77.5,968.2,91.4,6.7,10,5,0,1574,831792,189.229.999.807.644,0.47,10.91,38.17,54.26,24.79,NA,NA,4.88
16,2012-01-16,6,53.1,79.1,966.9,49,6.6,8.2,5.6,1.5,1272,684577,185.808.170.592.935,0.31,6.17,38.87,47.74,33.67,NA,NA,4.88
17,2012-01-17,4.9,95.2,75.4,977.6,107.5,8.2,11.9,6.8,0.1,1195,679011,175.991.257.873.584,0.59,11.74,48.13,65.35,38.29,NA,NA,4.46
18,2012-01-18,3.8,285.4,64.7,983,118.3,7.3,12.5,4.7,0,1090,633705,172.004.323.778.414,0.52,14.5,44.5,66.45,20.23,NA,NA,2
19,2012-01-19,6.2,283.3,57.9,984.4,114.4,7.9,13.1,5.2,0,1107,587070,18.856.354.438.142,0.33,9.17,34.22,47.96,29.21,NA,NA,5.17
20,2012-01-20,5.1,245.1,57.6,979.3,113.6,10.3,15.2,6.1,0,200,129335,154.637.182.510.535,0.39,16.7,48.78,73.78,24.38,NA,NA,6.17
21,2012-01-21,6.5,297.6,51,976.4,119.9,10.7,15,7.9,0,126,88890,141.748.228.147.148,0.43,8.74,31.87,45.04,32.46,NA,NA,4.29
22,2012-01-22,6.7,297.4,64.7,972,123.7,10.3,14.9,7.6,0,1791,892757,200.614.500.922.423,0.3,10.74,26.43,42.26,33.71,NA,NA,5.54
23,2012-01-23,8.9,312.2,58.8,969.2,119.3,10.4,14.7,7.1,0,1312,686578,191.092.636.233.611,0.31,4.84,23.89,30.79,36.91,NA,NA,3.48
24,2012-01-24,4.1,249.4,69.3,972.8,126,8.8,13,6.4,0,1345,736498,182.620.998.291.917,NA,11.28,45,61.89,14.88,NA,NA,2.91
25,2012-01-25,4.2,274.2,60.7,970.9,128.4,9.6,16,5.4,0,1345,741333,181.429.937.693.317,NA,29.22,56.3,100.39,22,NA,NA,1.96
26,2012-01-26,3.3,181.9,68.5,969.1,116.1,9.1,13.7,7,0,1182,593431,199.180.696.660.606,NA,29,66.17,110.09,17.5,NA,NA,2.54
27,2012-01-27,3.9,76,69.9,972.6,50.4,8.4,10.7,7.2,0,258,169549,152.168.399.695.663,NA,9.48,42.87,57,28.08,NA,NA,3.46
28,2012-01-28,3,223.3,84.6,973.4,21.7,5.9,8.3,4.4,3.9,145,99723,145.402.765.660.881,NA,9.74,40.91,55.39,13.42,NA,NA,2.88
29,2012-01-29,4.3,229.7,65.4,968.5,88.3,4.2,7.3,2.1,0.1,1962,964805,203.357.155.072.787,NA,3.87,29.65,35.17,34.58,NA,NA,3.62
30,2012-01-30,4.2,278.9,38.9,971.8,140.6,5.5,10.5,1.1,0,1577,857475,183.912.067.407.213,NA,4.7,31.17,37.87,39.29,NA,NA,4
31,2012-01-31,4.3,224.4,51.6,968,70.2,5,8.1,2.6,0,1441,809233,178.069.851.328.357,0.28,11.1,37.29,53.76,35.14,NA,NA,3.96
32,2012-02-01,4.2,143.9,86.1,963.5,15,4,5.6,0.4,8.5,1203,697658,172.434.057.948.164,0.65,35.04,55.48,108.61,19.62,NA,NA,3.5
33,2012-02-02,4.7,244.2,91.1,962.1,38.1,-0.6,0.3,-1.7,3.1,1225,657480,186.317.454.523.332,0.55,7.87,36.65,48.35,25.71,NA,NA,3.29
34,2012-02-03,7.7,233.4,56.9,967.3,144.1,-1.7,0.4,-4.6,0,281,185417,151.550.289.347.794,0.34,4.65,29,35.57,40.83,NA,NA,1.71
35,2012-02-04,5.8,238.4,24.8,972.2,152.7,-0.9,3,-3.7,0,96,69660,137.812.230.835.487,0.21,2.17,21.91,24.57,64.67,NA,NA,1.46
36,2012-02-05,5.9,231.7,44.1,972.6,58,0.2,3.1,-2.1,0,2536,1281926,197.827.331.686.852,0.36,02.09,24.04,26.65,55.42,NA,NA,1.5
37,2012-02-06,5.6,206.3,37,970.2,155,4.2,10.6,-0.6,0,2017,1063775,189.607.764.799.887,0.22,5.7,28.43,36.57,50.83,NA,NA,06.08
38,2012-02-07,4,191.2,16,965.7,158.8,4.2,8.6,1.4,0,1845,1029534,179.207.291.842.717,0.23,6.96,30.04,40.04,62.71,NA,NA,4.12
39,2012-02-08,6.5,307.8,20.1,971.7,115.4,1.4,4.8,-2.4,0,1815,992074,182.950.062.192.941,0.47,2.43,30.48,33.65,54.83,NA,NA,3.62
40,2012-02-09,11.2,315.2,41.1,974.4,159.3,2.1,7.4,-3,0,1664,906624,183.538.048.849.358,0.32,3,22.74,27.04,51.29,NA,NA,6.5
41,2012-02-10,7.8,266.6,46,969.2,157.5,4.5,8.9,1.2,0,348,244670,142.232.394.654.024,0.47,5.39,32.39,40.09,50.38,NA,NA,8.46
42,2012-02-11,5.7,233.8,32.4,968.2,165.5,2.4,7.3,-1.3,0,197,129509,152.112.980.565.057,0.51,1.61,19.57,21.61,64.88,NA,NA,6.46
43,2012-02-12,4.3,219.7,48.4,970.2,161.1,0.5,6.3,-3.2,0,3017,1459167,206.761.803.138.366,0.4,2.26,27.35,30.17,59.08,NA,NA,4.42
44,2012-02-13,5.5,230.1,35.4,971.2,163.1,2.7,8.4,-1.8,0,2169,1118082,193.992.927.173.499,0.37,5.35,42.04,49.96,54.38,NA,NA,3.42
45,2012-02-14,3.6,184,55.9,968.4,106.5,4.7,8.5,1.9,0,2094,1115618,187.698.656.708.658,0.33,9.48,46.87,60.87,43.92,NA,NA,6.92
