"","date","ws","wd","rh","pres","solar","temp_mean","temp_max","temp_min","precip_sum","casos_total","poblacio_total","incidencia_1000","co","no","no2","nox","o3","pm10","pm2.5","so2"
"1",2011-09-17,2.2,218.7,67.1,1004.5,263.7,25.2,28.4,21.7,0,NA,NA,NA,0.2,1.71,22.42,24.79,44.29,NA,NA,4
"2",2011-09-18,1.8,151.1,77.1,1001.6,78.1,20.2,23.5,15.8,0.3,NA,NA,NA,0.27,4.04,22.25,28.08,52.71,NA,NA,4.25
"3",2011-09-19,3.8,218.8,50.4,1007.5,238.3,18.7,25.8,13.6,0,NA,NA,NA,0.23,4.17,27.67,33.79,58.12,NA,NA,3.33
"4",2011-09-20,2.2,234.1,60.2,1010.7,228,20.2,25.2,15.9,0,NA,NA,NA,0.27,6.83,36.21,46.25,53,NA,NA,3.62
"5",2011-09-21,2,250.7,69.4,1009.6,233.9,21.1,26,15.7,0,NA,NA,NA,0.31,14.83,48.17,70.25,43.33,NA,NA,5.04
"6",2011-09-22,1.7,226.7,69.2,1008.3,225,22.4,27.6,18.2,0,NA,NA,NA,0.25,8.08,44.08,56,43,NA,NA,4.42
"7",2011-09-23,1.8,249.8,71.8,1005.9,201.9,22,27,17.3,0,NA,NA,NA,0.2,2.62,26.54,29.92,55.83,NA,NA,4.67
"8",2011-09-24,1.5,157.9,78.1,1005.2,57.6,19.9,22.9,16.6,4.5,NA,NA,NA,0.24,4.33,33.88,40.25,47.88,NA,NA,7.54
"9",2011-09-25,1.1,202.1,69,1009.3,225,20.4,26,15.5,0,NA,NA,NA,0.41,22.92,64,98.88,34.71,NA,NA,8.88
"10",2011-09-26,1.2,216.2,65.9,1013.1,216.9,21.4,27.5,16.5,0,NA,NA,NA,0.5,35.08,77.71,112.39,42.88,NA,NA,9.79
"11",2011-09-27,1.1,193.8,59.5,1014.6,217.9,22.5,29.7,16.8,0,NA,NA,NA,0.45,15.92,60.83,85,65.96,NA,NA,7.5
"12",2011-09-28,1.6,128.1,53.6,1013.9,215,22.4,28,17.1,0,NA,NA,NA,0.41,19.13,45.96,51.32,85.79,NA,NA,6.04
"13",2011-09-29,2.3,138,59.1,1013.8,205.9,21.6,27.9,16.1,0,NA,NA,NA,0.32,6.46,38,47.46,88.21,NA,NA,2.88
"14",2011-09-30,2.1,123.3,63.4,1013.8,203.6,21.2,26.1,15.5,0,NA,NA,NA,0.25,1.71,23.88,26.12,87.21,NA,NA,3.17
"15",2011-10-01,1.9,115.3,70.2,1014,202.2,20.9,26.2,15.5,0,NA,NA,NA,0.3,3.71,33.29,38.79,70.83,NA,NA,4.83
"16",2011-10-02,1.6,243.4,64.8,1014,215,20.7,26,15.1,0,1517,703847,2.15529795537951,0.66,47.86,99.64,130.05,34.86,NA,NA,6.05
"17",2011-10-03,1.1,213.4,47.8,1013.1,205.3,22.7,30.6,16.6,0,1140,552973,2.06158347695095,0.7,46.25,102.71,128.5,44.92,NA,NA,6.62
"18",2011-10-04,1.2,219.8,47.3,1013.4,200.1,22.4,29.8,17.4,0,1132,592742,1.90976849961703,0.46,31.28,64.28,86.24,63.04,NA,NA,5
"19",2011-10-05,1.7,165.9,51.4,1012,204,22.9,30.1,17.1,0,1088,565865,1.92272008341212,0.36,11.38,49.5,66.33,64.25,NA,NA,3.25
"20",2011-10-06,1.1,222.9,73.9,1009.9,187.5,21.5,27.1,16.9,0,914,479219,1.9072699538207,0.28,3.25,30.17,34.38,45.17,NA,NA,1.25
"21",2011-10-07,2.6,219.9,64.3,1007.7,96.4,19.7,22.9,16.6,0,217,145216,1.49432569413839,0.2,1.88,21.67,23.33,53.71,NA,NA,1.33
"22",2011-10-08,2.6,200.2,50.6,1010.3,192.8,17.9,24.1,13.3,0,107,71159,1.50367486895544,0.25,1.67,20.33,21.42,51.83,NA,NA,1.46
"23",2011-10-09,2.6,272.5,50.2,1012.4,199.8,18.8,25.3,13.7,0,1438,691942,2.07820886721719,0.35,21.46,52.29,84.58,28.46,NA,NA,2.17
"24",2011-10-10,1.9,236.8,44.1,1013.8,197.3,22.5,29.5,16.7,0,1141,559525,2.03922970376659,0.62,64.96,80.52,122.19,25.22,NA,NA,3.78
"25",2011-10-11,1.1,225.1,44.3,1012.2,194.3,22.6,29,16.8,0,156,124508,1.25293153853568,0.39,16.88,67.08,92.25,37.29,NA,NA,4.38
"26",2011-10-12,1,200.3,45.7,1010.1,193.9,23.3,32,17.8,0,1208,613826,1.96798441252081,0.28,9.82,54.23,68.5,38.33,NA,NA,2.46
"27",2011-10-13,1.7,146.1,68,1009.4,164.4,21.6,27.3,17.1,0,1033,534007,1.93443157112173,0.28,11.25,37.17,53,47.42,NA,NA,2.71
"28",2011-10-14,2.1,95.9,54.8,1010.6,163.4,20.3,25.7,15.9,0,243,153439,1.58369123886365,0.27,1.58,22.38,23.67,64.21,NA,NA,2.46
"29",2011-10-15,2.4,101.3,60.2,1013.8,144.4,18.6,22.2,16.7,0,133,97024,1.37079485488127,0.25,1.58,28.46,29.67,59.25,NA,NA,2.12
"30",2011-10-16,1.4,253.4,61.4,1013.9,167.3,18.8,23.3,15,0,1427,688283,2.07327509178637,0.35,8.12,41.88,53.17,54.96,NA,NA,2.79
"31",2011-10-17,1.6,250,68.3,1013,111.9,18.8,23.5,14.8,0,1168,612724,1.906241635712,0.29,2.71,31.08,34.08,67.12,NA,NA,3.62
"32",2011-10-18,2.5,272.6,60.4,1010.8,174.6,19.3,25.1,16,0,923,480383,1.92138356269893,0.3,2.96,31,34.62,71.17,NA,NA,2.62
"33",2011-10-19,2.7,234.7,68,1008.7,149.8,19,23.2,14.4,0,1049,563991,1.85995875820713,0.4,8.83,39.83,52.46,33.96,NA,NA,2.83
"34",2011-10-20,1.5,230.3,56.2,1011.8,93.8,15.3,19.6,12.6,0,976,497717,1.96095371466114,0.34,4.59,36.5,42.86,38.3,NA,NA,3.52
"35",2011-10-21,1.6,151.9,56.2,1011.5,63.5,14.7,17.3,11.2,0,211,144707,1.45811881940749,0.28,5.46,31.58,39.04,50.25,NA,NA,4.04
"36",2011-10-22,2,104.7,72.4,1008.8,128.5,16.4,21.4,13.4,0,87,61648,1.41123799636647,0.3,9.96,42.92,57.79,23.29,NA,NA,3.25
"37",2011-10-23,1,204.7,89.1,1004.7,54.2,15.2,18.8,12.9,5.3,1348,669851,2.01238782953224,0.36,18.38,63.04,90.75,18.75,NA,NA,2.17
"38",2011-10-24,1.3,178.1,91.2,994,63.3,15.9,20.3,14,38.2,1080,543482,1.98718632815806,0.28,2.92,20.29,24.25,48.54,NA,NA,3.88
"39",2011-10-25,3.4,299.9,55.4,995.6,168.4,16.3,20.5,13.9,0.1,1064,572137,1.85969444381328,0.49,15.12,43.42,65.88,43.67,NA,NA,5.08
"40",2011-10-26,2,265.1,46,1003.9,154.4,16,20.9,11.2,0,894,499889,1.78839702413936,0.56,28.75,62.71,106.29,20,NA,NA,6.67
"41",2011-10-27,1.3,115.2,82.9,1000.4,24.8,16.8,20.2,14.6,10.5,834,447345,1.86433289742816,0.31,5.33,42.46,50.08,32.67,NA,NA,5.92
"42",2011-10-28,2.2,49.6,86.3,1007.7,47.6,16.6,18.9,14.1,32.6,242,150717,1.6056582867228,0.32,2.54,26.04,29.42,45.21,NA,NA,7.5
"43",2011-10-29,2.4,103.2,77.8,1011.9,75.6,18,21.5,14.7,0,157,98177,1.59915255100482,0.31,4.71,28,34.92,31.79,NA,NA,8.42
"44",2011-10-30,1.5,218.9,73.7,1011.5,135.3,17.4,23.7,14,0,943,454778,2.07353917735686,0.45,20.67,48,79.08,23.83,NA,NA,9.58
"45",2011-10-31,1.3,234.5,80.9,1008.4,101,16.8,20.8,13.2,0,128,94454,1.35515700764393,0.29,2.67,31.25,35,39.71,NA,NA,9.04
"46",2011-11-01,1.4,245.2,82.6,1006.9,97.8,18.2,21.7,15.4,0,1290,668601,1.92940184055962,0.32,5.17,35.25,42.67,37.71,NA,NA,6.25
"47",2011-11-02,2.3,222.8,83.5,1003.7,118,18.6,21.4,16.1,82.1,1014,554732,1.82790969332939,0.38,12.75,46.12,65.25,24.83,NA,NA,5.54
"48",2011-11-03,2.1,157.2,82.5,994.8,44.3,18.7,20.8,16.3,0.1,761,410428,1.85416199674486,0.38,8.96,50.04,63.04,29.79,NA,NA,6.54
"49",2011-11-04,1.8,198.4,88.9,989.5,25.9,15.6,17.6,14.3,22.3,221,147266,1.50068583379735,0.38,5.04,29.5,36.62,36.17,NA,NA,4.04
"50",2011-11-05,1.7,236.4,84,989.5,60.8,14.4,18.8,11.3,14.3,80,58231,1.37383867699335,0.37,3.83,18.75,23.75,45.12,NA,NA,3
"51",2011-11-06,3.5,230,83.6,994.7,26.9,12.9,15.7,10.6,26.1,1306,689123,1.89516240206756,0.4,16.55,40.95,65.73,29.17,NA,NA,3.75
"52",2011-11-07,2.4,279.6,63.9,1001.8,96.2,16.1,20.9,13.5,0,1063,569310,1.86717254220021,0.45,11.71,34.75,52.25,22.67,NA,NA,9.54
"53",2011-11-08,2.9,249,72.1,1004,134.9,15.1,21.1,12.1,0.1,956,513068,1.86330077104789,0.63,32.08,54.79,103.46,18.25,NA,NA,9.33
"54",2011-11-09,1.4,246.7,74.3,1008.1,129.2,15,20.3,11,0,943,503108,1.87434904632803,0.6,30.33,65.17,111.38,20.46,NA,NA,8.04
"55",2011-11-10,1.4,265,78.1,1007.8,115.4,14.9,20.1,10.8,0,825,453083,1.8208584299124,0.66,31.54,65.75,95,22.54,NA,NA,8.62
"56",2011-11-11,1.2,237.7,81.5,1008.5,125.4,16,20.8,12.1,0,200,134662,1.4851999821776,0.48,10.21,47.5,62.75,36.88,NA,NA,8.88
"57",2011-11-12,1.5,87.1,81.4,1015.4,97.8,17.1,21.2,14.2,0,114,74944,1.52113578138343,0.37,1.71,26.92,29.42,51.54,NA,NA,8.12
"58",2011-11-13,2.2,66.1,84.5,1016.5,35.3,15.7,17.8,14.2,7.8,1342,700081,1.91692104199371,0.41,3.25,39.46,44.12,44.83,NA,NA,6.75
"59",2011-11-14,2.6,55.4,81.9,1010.7,31.2,14.5,16.9,13.3,5.2,773,438859,1.76138577538572,0.35,3.29,38.38,42.92,47.67,NA,NA,5
"60",2011-11-15,3.1,77.9,90.1,1003.1,22.6,14.3,15.9,12.9,48.8,791,417682,1.89378522416575,0.44,6.25,35.96,45.21,47.38,NA,NA,4.5
"61",2011-11-16,2.4,73.9,81.8,1007.3,29.9,14.1,15.5,12.5,7.7,960,510763,1.87954100042485,0.56,9.42,46,60.04,36.96,NA,NA,3.71
"62",2011-11-17,1.4,95,72,1013.6,73,14.8,17.8,12.7,8.4,894,430648,2.07594137207185,0.74,34.25,59.21,111.12,14.42,NA,NA,4
"63",2011-11-18,1,131.9,85.6,1011.1,64.8,13.1,17.3,10.5,0,182,115720,1.57276183892153,0.52,8.04,47.21,59.08,26.88,NA,NA,4.04
"64",2011-11-19,2.5,55.6,87.7,1005.3,0.2,14.7,15.1,14.5,1.2,122,76372,1.59744408945687,0.38,1.92,25.83,28.75,52.88,NA,NA,1.62
"65",2011-11-20,2.7,60.9,82,1005.5,0.9,15.7,16.5,15.2,0,1463,710083,2.06032252567658,0.38,3.79,31.67,37.12,46.29,NA,NA,3.29
"66",2011-11-21,3.2,56.8,76.4,1001.4,59.4,15.2,19.1,13.2,6.2,1061,526459,2.01535162282343,0.39,2.42,24.75,28.04,53,NA,NA,2.17
"67",2011-11-22,4,52.6,70.4,1001.7,43.5,15.4,16.4,13.3,0.3,1052,538174,1.95475812655387,0.63,34.08,47.62,99.38,23.96,NA,NA,3.08
"68",2011-11-23,1.5,232.3,59.4,1010.8,113,15.4,20.6,10.8,0,1032,528611,1.95228627478429,0.87,51.42,63.33,125.22,12.08,NA,NA,4.62
"69",2011-11-24,1,216.8,75.1,1017.1,107.2,13.2,19.3,10,0,968,488414,1.98192517004017,0.73,58.96,64.79,115.95,8.67,NA,NA,5.33
"70",2011-11-25,0.8,246.8,76.4,1018.9,107.9,12.7,18.9,8.7,0,231,129736,1.78053894061787,0.54,10.67,35.79,51.67,17.83,NA,NA,5.96
"71",2011-11-26,1.3,225.2,68,1019,113.7,11.5,17.6,7.3,0,113,82983,1.36172469059928,0.58,7,37.88,48.38,26.62,NA,NA,6.25
