"","date","ws","wd","rh","pres","solar","temp_mean","temp_max","temp_min","precip_sum","casos_total","poblacio_total","incidencia_1000","co","no","no2","nox","o3","pm10","pm2.5","so2","data"
"1",2011-09-17,NA,NA,68.7647058823529,NA,NA,25.1470588235294,26.5,22,NA,NA,NA,NA,NA,11.5,35.04,52.25,NA,NA,NA,NA,2011-09-17
"2",2011-09-18,NA,NA,81.2083333333333,NA,NA,20.4416666666667,23.4,17.1,NA,NA,NA,NA,NA,2.88,16.25,20.21,NA,NA,NA,NA,2011-09-18
"3",2011-09-19,NA,NA,53.1666666666667,NA,NA,18.7708333333333,23.2,14.8,NA,NA,NA,NA,NA,5.33,21.62,29.33,NA,NA,NA,NA,2011-09-19
"4",2011-09-20,NA,NA,61.0833333333333,NA,NA,20.3041666666667,23.8,17.3,NA,NA,NA,NA,NA,8.17,34,46.08,NA,NA,NA,NA,2011-09-20
"5",2011-09-21,NA,NA,74,NA,NA,21.225,24.8,16.7,NA,NA,NA,NA,NA,16.71,44.29,69.42,NA,NA,NA,NA,2011-09-21
"6",2011-09-22,NA,NA,76.2916666666667,NA,NA,22.0333333333333,25.1,18.2,NA,NA,NA,NA,NA,17.42,41.88,68.12,NA,NA,NA,NA,2011-09-22
"7",2011-09-23,NA,NA,76.75,NA,NA,21.9875,25.4,18,NA,NA,NA,NA,NA,20.92,42.71,74.33,NA,NA,NA,NA,2011-09-23
"8",2011-09-24,NA,NA,83.3333333333333,NA,NA,20.2333333333333,22.3,17.8,NA,NA,NA,NA,NA,5.21,30.71,38.29,NA,NA,NA,NA,2011-09-24
"9",2011-09-25,NA,NA,75.625,NA,NA,20.1583333333333,24.1,16.9,NA,NA,NA,NA,NA,3.46,22.88,27.88,NA,NA,NA,NA,2011-09-25
"10",2011-09-26,NA,NA,77.3333333333333,NA,NA,20.5958333333333,24.5,16.9,NA,NA,NA,NA,NA,24.21,36.17,73.04,NA,NA,NA,NA,2011-09-26
"11",2011-09-27,NA,NA,72.375,NA,NA,21.475,27.4,17,NA,NA,NA,NA,NA,43.54,44.42,110.67,NA,NA,NA,NA,2011-09-27
"12",2011-09-28,NA,NA,67.2083333333333,NA,NA,21.5791666666667,26,18.6,NA,NA,NA,NA,NA,39.92,47.29,107.96,NA,NA,NA,NA,2011-09-28
"13",2011-09-29,NA,NA,62.2083333333333,NA,NA,21.7625,26.6,18,NA,NA,NA,NA,NA,19.73,50.77,80.59,NA,NA,NA,NA,2011-09-29
"14",2011-09-30,NA,NA,69.4166666666667,NA,NA,21.1208333333333,24.3,17,NA,NA,NA,NA,NA,14.29,48.58,70.29,NA,NA,NA,NA,2011-09-30
"15",2011-10-01,NA,NA,71.0833333333333,NA,NA,20.9125,24.1,17.6,NA,NA,NA,NA,NA,3.83,35.33,40.67,NA,NA,NA,NA,2011-10-01
"16",2011-10-02,NA,NA,68.1666666666667,NA,NA,20.8625,24.9,16.5,NA,NA,NA,NA,NA,5.46,46.88,55,NA,NA,NA,NA,2011-10-02
"17",2011-10-03,NA,NA,70.4166666666667,NA,NA,20.8416666666667,27.4,15.9,NA,1517,703847,2.15529795537951,NA,22,68.88,102.21,NA,NA,NA,NA,2011-10-03
"18",2011-10-04,NA,NA,58.7083333333333,NA,NA,21.4625,26.9,16.3,NA,1140,552973,2.06158347695095,NA,21.64,93.14,126.14,NA,NA,NA,NA,2011-10-04
"19",2011-10-05,NA,NA,65.6666666666667,NA,NA,21.3041666666667,26.9,15.9,NA,1132,592742,1.90976849961703,NA,23.38,73.25,108.42,NA,NA,NA,NA,2011-10-05
"20",2011-10-06,NA,NA,75.5416666666667,NA,NA,21.5541666666667,25,18.5,NA,1088,565865,1.92272008341212,NA,14.38,60.04,81.83,NA,NA,NA,NA,2011-10-06
"21",2011-10-07,NA,NA,72,NA,NA,19.5833333333333,21.6,17.3,NA,914,479219,1.9072699538207,NA,10.67,51.71,67.92,NA,NA,NA,NA,2011-10-07
"22",2011-10-08,NA,NA,53.5,NA,NA,17.85,21.5,14.1,NA,217,145216,1.49432569413839,NA,4.62,27.71,34.5,NA,NA,NA,NA,2011-10-08
"23",2011-10-09,NA,NA,56.625,NA,NA,18.2583333333333,21.5,14.8,NA,107,71159,1.50367486895544,NA,6.58,32.79,42.67,NA,NA,NA,NA,2011-10-09
"24",2011-10-10,NA,NA,56.125,NA,NA,21.6291666666667,28.2,15.1,NA,1438,691942,2.07820886721719,NA,36.21,71.42,126.54,NA,NA,NA,NA,2011-10-10
"25",2011-10-11,NA,NA,57.125,NA,NA,21.5375,28,16.2,NA,1141,559525,2.03922970376659,NA,55.29,83.21,167.38,NA,NA,NA,NA,2011-10-11
"26",2011-10-12,NA,NA,62.8333333333333,NA,NA,20.9458333333333,27,15.8,NA,156,124508,1.25293153853568,NA,15.62,70.88,94.46,NA,NA,NA,NA,2011-10-12
"27",2011-10-13,NA,NA,73.9166666666667,NA,NA,20.5583333333333,25,16.4,NA,1208,613826,1.96798441252081,NA,22.12,53.96,87.46,NA,NA,NA,NA,2011-10-13
"28",2011-10-14,NA,NA,58.125,NA,NA,20.0625,23.6,17.1,NA,1033,534007,1.93443157112173,NA,15.75,42.54,66.33,NA,NA,NA,NA,2011-10-14
"29",2011-10-15,NA,NA,59.4583333333333,NA,NA,18.8125,21.2,17,NA,243,153439,1.58369123886365,NA,6.38,40.96,50.46,NA,NA,NA,NA,2011-10-15
"30",2011-10-16,NA,NA,60.875,NA,NA,19.125,21.6,16.4,NA,133,97024,1.37079485488127,NA,6.04,45.54,54.38,NA,NA,NA,NA,2011-10-16
"31",2011-10-17,NA,NA,71.5416666666667,NA,NA,18.875,21.8,15.6,NA,1427,688283,2.07327509178637,NA,19.29,56.54,85.58,NA,NA,NA,NA,2011-10-17
"32",2011-10-18,NA,NA,64,NA,NA,19.4041666666667,23.8,14.9,NA,1168,612724,1.906241635712,NA,19.79,59.71,89.67,NA,NA,NA,NA,2011-10-18
"33",2011-10-19,NA,NA,69.5833333333333,NA,NA,19.0083333333333,22.7,14.7,NA,923,480383,1.92138356269893,NA,26.83,61.29,101.96,NA,NA,NA,NA,2011-10-19
"34",2011-10-20,NA,NA,60.125,NA,NA,15.6791666666667,18.7,13.4,NA,1049,563991,1.85995875820713,NA,21.33,47.75,80.04,NA,NA,NA,NA,2011-10-20
"35",2011-10-21,NA,NA,57.7916666666667,NA,NA,14.9416666666667,16.5,12.6,NA,976,497717,1.96095371466114,NA,18.42,45.38,73.21,NA,NA,NA,NA,2011-10-21
"36",2011-10-22,NA,NA,70.4166666666667,NA,NA,16.825,19.6,14.2,NA,211,144707,1.45811881940749,NA,6.88,40.92,51.25,NA,NA,NA,NA,2011-10-22
"37",2011-10-23,NA,NA,79.2916666666667,NA,NA,16.5833333333333,18.8,14.6,NA,87,61648,1.41123799636647,NA,7.96,48.33,59.92,NA,NA,NA,NA,2011-10-23
"38",2011-10-24,NA,NA,88.2916666666667,NA,NA,16.5583333333333,20.1,15.4,NA,1348,669851,2.01238782953224,NA,23.57,58.81,94.33,NA,NA,NA,NA,2011-10-24
"39",2011-10-25,NA,NA,56.3333333333333,NA,NA,16.7625,20,13.8,NA,1080,543482,1.98718632815806,NA,15.21,35.54,58.25,NA,NA,NA,NA,2011-10-25
"40",2011-10-26,NA,NA,52.25,NA,NA,15.7333333333333,20.1,11.2,NA,1064,572137,1.85969444381328,NA,37.33,57.5,114.33,NA,NA,NA,NA,2011-10-26
"41",2011-10-27,NA,NA,81.2083333333333,NA,NA,17.2791666666667,20.7,15,NA,894,499889,1.78839702413936,NA,32.83,60.33,110.25,NA,NA,NA,NA,2011-10-27
"42",2011-10-28,NA,NA,86.2916666666667,NA,NA,17.0833333333333,19.1,15.3,NA,834,447345,1.86433289742816,NA,24.17,43.25,79.88,NA,NA,NA,NA,2011-10-28
"43",2011-10-29,NA,NA,80.875,NA,NA,18.0458333333333,20.8,16,NA,242,150717,1.6056582867228,NA,4.08,23.67,29.83,NA,NA,NA,NA,2011-10-29
"44",2011-10-30,NA,NA,78.3333333333333,NA,NA,17.1458333333333,21.5,14.5,NA,157,98177,1.59915255100482,NA,7.96,25.54,37.54,NA,NA,NA,NA,2011-10-30
"45",2011-10-31,NA,NA,82.5,NA,NA,16.6625,19.9,13,NA,943,454778,2.07353917735686,NA,25.62,42.96,81.62,NA,NA,NA,NA,2011-10-31
"46",2011-11-01,NA,NA,85.25,NA,NA,18.175,21,15.3,NA,128,94454,1.35515700764393,NA,34.75,45.92,98.75,NA,NA,NA,NA,2011-11-01
"47",2011-11-02,NA,NA,84.0416666666667,NA,NA,19.025,21.3,16.8,NA,1290,668601,1.92940184055962,NA,17.17,45.42,71.42,NA,NA,NA,NA,2011-11-02
"48",2011-11-03,NA,NA,82.7916666666667,NA,NA,19.6291666666667,21,18.2,NA,1014,554732,1.82790969332939,NA,7.71,31.75,43.21,NA,NA,NA,NA,2011-11-03
"49",2011-11-04,NA,NA,87.6666666666667,NA,NA,16.475,17.9,15.3,NA,761,410428,1.85416199674486,NA,22.08,40.75,74.17,NA,NA,NA,NA,2011-11-04
"50",2011-11-05,NA,NA,80.5416666666667,NA,NA,15.5791666666667,18.1,12.8,NA,221,147266,1.50068583379735,NA,10.38,32.58,48.12,NA,NA,NA,NA,2011-11-05
"51",2011-11-06,NA,NA,84.5416666666667,NA,NA,13.7166666666667,16.4,12.1,NA,80,58231,1.37383867699335,NA,7.33,23.71,34.58,NA,NA,NA,NA,2011-11-06
"52",2011-11-07,NA,NA,71.25,NA,NA,15.6041666666667,19.1,13,NA,1306,689123,1.89516240206756,NA,32.21,51.12,100,NA,NA,NA,NA,2011-11-07
"53",2011-11-08,NA,NA,74.7916666666667,NA,NA,15.3125,18.9,13,NA,1063,569310,1.86717254220021,NA,15.12,33.5,56.33,NA,NA,NA,NA,2011-11-08
"54",2011-11-09,NA,NA,81.0833333333333,NA,NA,14.7125,19,11.4,NA,956,513068,1.86330077104789,NA,48.62,56.42,130.33,NA,NA,NA,NA,2011-11-09
"55",2011-11-10,NA,NA,78.2916666666667,NA,NA,15.35,19.1,12.1,NA,943,503108,1.87434904632803,NA,46.71,62.33,133.29,NA,NA,NA,NA,2011-11-10
"56",2011-11-11,NA,NA,86.375,NA,NA,15.6,19.4,12,NA,825,453083,1.8208584299124,NA,55.79,60.54,145.38,NA,NA,NA,NA,2011-11-11
"57",2011-11-12,NA,NA,86.875,NA,NA,16.5916666666667,19.6,14.7,NA,200,134662,1.4851999821776,NA,29.79,46.17,91.46,NA,NA,NA,NA,2011-11-12
"58",2011-11-13,NA,NA,85.5416666666667,NA,NA,15.8125,17.8,14.6,NA,114,74944,1.52113578138343,NA,8.58,29.96,42.67,NA,NA,NA,NA,2011-11-13
"59",2011-11-14,NA,NA,85.7083333333333,NA,NA,14.7458333333333,16.9,13.8,NA,1342,700081,1.91692104199371,NA,19.88,50.92,80.79,NA,NA,NA,NA,2011-11-14
"60",2011-11-15,NA,NA,87.4166666666667,NA,NA,15.375,17,14.6,NA,773,438859,1.76138577538572,NA,4.17,27.83,33.71,NA,NA,NA,NA,2011-11-15
"61",2011-11-16,NA,NA,82.2916666666667,NA,NA,14.8666666666667,15.8,13.5,NA,791,417682,1.89378522416575,NA,18.21,49,76.38,NA,NA,NA,NA,2011-11-16
"62",2011-11-17,NA,NA,77.625,NA,NA,14.875,17,12.8,NA,960,510763,1.87954100042485,NA,17.79,42.71,69.54,NA,NA,NA,NA,2011-11-17
"63",2011-11-18,NA,NA,89,NA,NA,13.3041666666667,15.8,11.9,NA,894,430648,2.07594137207185,NA,49.54,50.04,125.5,NA,NA,NA,NA,2011-11-18
"64",2011-11-19,NA,NA,82.7916666666667,NA,NA,13.8625,16.1,11.2,NA,182,115720,1.57276183892153,NA,26.04,40.46,79.83,NA,NA,NA,NA,2011-11-19
"65",2011-11-20,NA,NA,84.3333333333333,NA,NA,16.0791666666667,18.2,13.6,NA,122,76372,1.59744408945687,NA,4.75,28.38,35.25,NA,NA,NA,NA,2011-11-20
"66",2011-11-21,NA,NA,80.8333333333333,NA,NA,15.2375,17.6,13.4,NA,1463,710083,2.06032252567658,NA,14.71,42.08,64.29,NA,NA,NA,NA,2011-11-21
"67",2011-11-22,NA,NA,71.4166666666667,NA,NA,15.8791666666667,16.9,13.9,NA,1061,526459,2.01535162282343,NA,5.26,29.61,37.09,NA,NA,NA,NA,2011-11-22
